family_id,amfi_code,isin,name,plan_type,option_type,nav,nav_date,day_change,day_change_pct,expense_ratio,morningstar,risk_label,aum,min_sip,min_lumpsum,min_additional,exit_load,benchmark,launch_date,is_active,morningstar_sec_id,groww_slug,family_name,category,amc_name,amc_slug,returns,ratios,related_variants,scheme_code
5265,135106,INF200KA1FS1,SBI Nifty 50 ETF,regular,growth,256.66,2026-04-30,-1.92,-0.74,0.04,3,Very High Risk,1919093600000.0,,,,-,BSE 100 India TR INR,2015-07-23,True,0P0001NLLE,,SBI Nifty 50 ETF,Large-Cap,SBI Mutual Fund,sbi-mutual-fund,"{'as_of_date': '2026-05-01', 'return_1m': 5.97, 'return_3m': -4.81, 'return_6m': -7.04, 'return_1y': 0.42, 'return_3y': 11.42, 'return_5y': 11.39, 'return_inception': 11.32, 'rank_1m': 58, 'rank_3m': 72, 'rank_6m': 71, 'rank_1y': 59, 'rank_3y': 69, 'rank_5y': 63, 'rank_total': 282}","{'as_of_date': '2026-05-01', 'valuation': {'pe_ratio': 20.9, 'pb_ratio': 2.8, 'ps_ratio': 2.6, 'dividend_yield': 1.8}, 'efficiency': {'roe': 19.0, 'roa': 6.0}, 'returns': {'sharpe_ratio': -0.6, 'jensens_alpha': -0.6, 'treynor_ratio': -9.9, 'information_ratio': -0.5}, 'risk': {'std_deviation': 14.7, 'beta': 1.0, 'sortino_ratio': -0.7, 'r_squared': 99.8}, 'category_averages': {'pe': 22.99, 'sharpe': -0.19, 'beta': 0.94}}",[],135106
7428,122640,INF879O01019,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,regular,growth,83.35,2026-04-30,-0.11,-0.13,1.27,5,Very High Risk,1289664900000.0,1000.0,1000.0,1000.0,0 - 365 Days : 2.0 %<br/>365 - 730 Days : 1.0 %,BSE 500 India TR INR,2013-05-24,True,,,Parag Parikh Flexi Cap Fund,Flexi Cap,PPFAS Mutual Fund,ppfas-mutual-fund,"{'as_of_date': '2026-05-01', 'return_1m': 5.68, 'return_3m': -2.87, 'return_6m': -4.73, 'return_1y': 3.77, 'return_3y': 16.92, 'return_5y': 15.88, 'return_inception': 17.83, 'rank_1m': 94, 'rank_3m': 89, 'rank_6m': 46, 'rank_1y': 49, 'rank_3y': 39, 'rank_5y': 23, 'rank_total': 271}","{'as_of_date': '2026-05-01', 'valuation': {'pe_ratio': 19.9, 'pb_ratio': 3.0, 'ps_ratio': 4.2, 'dividend_yield': 2.1}, 'efficiency': {'roe': 20.8, 'roa': 9.2}, 'returns': {'sharpe_ratio': -0.6, 'jensens_alpha': -1.2, 'treynor_ratio': -10.6, 'information_ratio': 0.4}, 'risk': {'std_deviation': 9.7, 'beta': 0.6, 'sortino_ratio': -0.7, 'r_squared': 92.5}, 'category_averages': {'pe': 23.31, 'sharpe': -0.44, 'beta': 0.95}}","[{'amfi_code': '122639', 'name': 'Parag Parikh Flexi Cap Fund - Direct Plan - Growth', 'plan_type': 'direct', 'option_type': 'growth', 'nav': 91.4026, 'nav_date': '2026-04-29', 'expense_ratio': 0.63, 'aum': 1342531700000.0}, {'amfi_code': '153964', 'name': 'Parag Parikh Flexi Cap Fund - Direct Plan - IDCW', 'plan_type': 'direct', 'option_type': 'idcw_payout', 'nav': 91.4026, 'nav_date': '2026-04-29', 'expense_ratio': 0.63, 'aum': None}, {'amfi_code': '153965', 'name': 'Parag Parikh Flexi Cap Fund - Regular Plan - IDCW', 'plan_type': 'regular', 'option_type': 'idcw_payout', 'nav': 83.4547, 'nav_date': '2026-04-29', 'expense_ratio': 1.28, 'aum': None}]",122640
5259,121109,INF200K01VT2,SBI BSE SENSEX ETF,regular,growth,851.66,2026-04-30,-6.46,-0.75,0.04,2,Very High Risk,1098498970000.0,,,,-,BSE 100 India TR INR,2013-03-22,True,0P0000YBVT,,SBI BSE SENSEX ETF,Large-Cap,SBI Mutual Fund,sbi-mutual-fund,"{'as_of_date': '2026-05-01', 'return_1m': 5.34, 'return_3m': -6.08, 'return_6m': -8.72, 'return_1y': -2.43, 'return_3y': 9.48, 'return_5y': 10.49, 'return_inception': 12.69, 'rank_1m': 80, 'rank_3m': 95, 'rank_6m': 95, 'rank_1y': 92, 'rank_3y': 94, 'rank_5y': 87, 'rank_total': 282}","{'as_of_date': '2026-05-01', 'valuation': {'pe_ratio': 20.6, 'pb_ratio': 2.8, 'ps_ratio': 3.1, 'dividend_yield': 1.6}, 'efficiency': {'roe': 18.9, 'roa': 5.5}, 'returns': {'sharpe_ratio': -0.7, 'jensens_alpha': -2.5, 'treynor_ratio': -11.8, 'information_ratio': -1.7}, 'risk': {'std_deviation': 15.0, 'beta': 1.0, 'sortino_ratio': -0.8, 'r_squared': 99.0}, 'category_averages': {'pe': 22.99, 'sharpe': -0.19, 'beta': 0.94}}",[],121109
1378,100119,INF179K01830,HDFC Balanced Advantage Fund - Growth Plan,regular,growth,514.735,2026-04-30,3.97,0.81,1.35,5,Very High Risk,1075896700000.0,100.0,100.0,100.0,0 - 1 Years : 1.0 %,CRISIL Hybrid 50+50 Moderate TR INR,1994-02-01,True,,,HDFC Balanced Advantage Fund,Dynamic Asset Allocation,HDFC Mutual Fund,hdfc-mutual-fund,"{'as_of_date': '2026-04-07', 'return_1m': -6.37, 'return_3m': -9.24, 'return_6m': -5.59, 'return_1y': -0.18, 'return_3y': 14.81, 'return_5y': 15.4, 'return_inception': 17.54, 'rank_1m': 82, 'rank_3m': 73, 'rank_6m': 68, 'rank_1y': 65, 'rank_3y': 4, 'rank_5y': 3, 'rank_total': 228}","{'as_of_date': '2026-05-01', 'valuation': {'pe_ratio': 19.2, 'pb_ratio': 2.8, 'ps_ratio': 2.3, 'dividend_yield': 1.8}, 'efficiency': {'roe': 18.4, 'roa': 6.3}, 'returns': {'sharpe_ratio': -0.5, 'jensens_alpha': 0.2, 'treynor_ratio': -5.2, 'information_ratio': -0.5}, 'risk': {'std_deviation': 10.8, 'beta': None, 'sortino_ratio': -0.6, 'r_squared': 98.9}, 'category_averages': {'pe': 23.78, 'sharpe': -0.26, 'beta': None}}","[{'amfi_code': '118968', 'name': 'HDFC Balanced Advantage Fund - Growth Plan - Direct Plan', 'plan_type': 'direct', 'option_type': 'growth', 'nav': 558.92, 'nav_date': '2026-04-30', 'expense_ratio': 0.75, 'aum': 984577540000.0}, {'amfi_code': '118969', 'name': 'HDFC Balanced Advantage Fund - IDCW Plan - Direct Plan', 'plan_type': 'direct', 'option_type': 'idcw_payout', 'nav': 43.162, 'nav_date': '2026-04-30', 'expense_ratio': 0.75, 'aum': None}, {'amfi_code': '100120', 'name': 'HDFC Balanced Advantage Fund - IDCW Plan', 'plan_type': 'regular', 'option_type': 'idcw_payout', 'nav': 36.444, 'nav_date': '2026-04-30', 'expense_ratio': 1.36, 'aum': None}]",100119
1348,101762,INF179K01608,HDFC Flexi Cap Fund - Growth Plan,regular,growth,1944.502,2026-04-30,28.82,1.55,1.35,5,Very High Risk,1004553200000.0,20.0,100.0,100.0,0 - 1 Years : 1.0 %,BSE 500 India TR INR,1995-01-01,True,,,HDFC Flexi Cap Fund,Flexi Cap,HDFC Mutual Fund,hdfc-mutual-fund,"{'as_of_date': '2026-03-26', 'return_1m': -9.9, 'return_3m': -9.79, 'return_6m': -8.54, 'return_1y': 0.4, 'return_3y': 19.25, 'return_5y': 18.64, 'return_inception': 18.23, 'rank_1m': 84, 'rank_3m': 11, 'rank_6m': 27, 'rank_1y': 26, 'rank_3y': 8, 'rank_5y': 7, 'rank_total': 265}","{'as_of_date': '2026-05-01', 'valuation': {'pe_ratio': 21.2, 'pb_ratio': 2.8, 'ps_ratio': 2.7, 'dividend_yield': 1.5}, 'efficiency': {'roe': 15.7, 'roa': 4.6}, 'returns': {'sharpe_ratio': -0.4, 'jensens_alpha': 1.4, 'treynor_ratio': -7.4, 'information_ratio': 0.5}, 'risk': {'std_deviation': 14.1, 'beta': 0.9, 'sortino_ratio': -0.4, 'r_squared': 91.9}, 'category_averages': {'pe': 23.31, 'sharpe': -0.44, 'beta': 0.95}}","[{'amfi_code': '118955', 'name': 'HDFC Flexi Cap Fund - Growth Option - Direct Plan', 'plan_type': 'direct', 'option_type': 'growth', 'nav': 2137.0, 'nav_date': '2026-04-30', 'expense_ratio': 0.68, 'aum': 913349100000.0}, {'amfi_code': '118954', 'name': 'HDFC Flexi Cap Fund - IDCW Option - Direct Plan', 'plan_type': 'direct', 'option_type': 'idcw_payout', 'nav': 86.407, 'nav_date': '2026-04-30', 'expense_ratio': 0.68, 'aum': None}, {'amfi_code': '101763', 'name': 'HDFC Flexi Cap Fund - IDCW Plan', 'plan_type': 'regular', 'option_type': 'idcw_payout', 'nav': 70.266, 'nav_date': '2026-04-30', 'expense_ratio': 1.35, 'aum': None}]",101762
